Std:Min:Sek;MSB A00;    ; ;MSB A01;    ; ;MSB A02;    ; ;MSB A03;    ; ;MSB A04;    ; ;MSB A05;    ; ;MSB A06;    ; ;MSB A07;    ; ;MSB A08;    ; ;MSB A09;    ; ;MSB A10;    ; ;MSB A11;    ; ;MSB A12;    ; ;MSB A13;    ; ;MSB A14;    ; ;MSB A15;    ; ;
000:00:00,5; 0005,0;V   ;-; 000000;%LQI;-; 0000,0;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,2;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:01,0; 0005,0;V   ;-; 000000;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,2;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:01,5; 0005,0;V   ;-; 000080;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,2;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:02,0; 0005,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,2;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:02,5; 0005,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,2;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:03,0; 0005,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,2;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:03,5; 0005,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,2;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:04,0; 0005,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,2;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:04,5; 0005,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,2;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:05,0; 0005,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,3;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:05,5; 0005,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,3;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:06,0; 0005,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,3;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:06,5; 0005,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,3;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:07,0; 0005,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,3;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:07,5; 0005,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0001,2;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,3;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
